cluster;Cluster_Size;Cluster_Proportion (%);traffic_sign_count_min;traffic_sign_count_max;traffic_sign_count_median;traffic_sign_count_mean;traffic_sign_count_std;highway_traffic_signals_count_min;highway_traffic_signals_count_max;highway_traffic_signals_count_median;highway_traffic_signals_count_mean;highway_traffic_signals_count_std;TotalCrossingCount_min;TotalCrossingCount_max;TotalCrossingCount_median;TotalCrossingCount_mean;TotalCrossingCount_std;lanes_min;lanes_max;lanes_median;lanes_mean;lanes_std;crossing_traffic_signals_count_min;crossing_traffic_signals_count_max;crossing_traffic_signals_count_median;crossing_traffic_signals_count_mean;crossing_traffic_signals_count_std;crossing_unmarked_count_min;crossing_unmarked_count_max;crossing_unmarked_count_median;crossing_unmarked_count_mean;crossing_unmarked_count_std;crossing_uncontrolled_count_min;crossing_uncontrolled_count_max;crossing_uncontrolled_count_median;crossing_uncontrolled_count_mean;crossing_uncontrolled_count_std;maxspeed;maxspeed_mode_proportion (%);highway;highway_mode_proportion (%);surface;surface_mode_proportion (%);HasSpecialLane;HasSpecialLane_mode_proportion (%);cycle_lane;cycle_lane_mode_proportion (%);shared_cycle;shared_cycle_mode_proportion (%);bus_lane;bus_lane_mode_proportion (%)
A;101255;1.45;6;15;11.0;11.373749444471878;3.3015405687108528;0;2;0.0;0.5466396721149572;0.7079338008206801;0;6;1.0;0.7680707125574046;0.906743373005332;1.0;4.0;2.0;2.229588662288282;0.7694755886007241;0;2;0.0;0.4126808552664066;0.6580328766057483;0;2;0.0;0.1167646042170757;0.4062211527075858;0;2;0.0;0.23862525307392227;0.5454833301543581;50;26.3;secondary;22.8;asphalt;80.4;0;86.8;no;93.2;no;97.2;no;95.4
B;251615;3.59;0;8;0.0;0.6861276156032033;1.430571662653967;0;2;0.0;0.423516086083898;0.6534970028078063;0;3;0.0;0.24593525823182244;0.5094911819627792;3.0;4.0;3.0;3.4272479780617213;0.49467981144745304;0;2;0.0;0.19828706555650497;0.44896205941682343;0;2;0.0;0.008914412892713074;0.10422041781839908;0;2;0.0;0.03873377978260437;0.20691446962920118;50;21.8;primary;35.5;asphalt;72.8;0;90.1;no;94.8;no;97.4;no;97.0
C;567895;8.11;0;8;0.0;0.5596879704875021;1.2362529559440751;0;2;0.0;0.4752639132233952;0.7374990137607546;0;6;1.0;1.2298083272435925;0.6005713789806832;0.0;4.0;2.0;1.8996170066649645;0.3498728196090615;0;2;0.0;0.3560869526937198;0.5938378943563792;0;2;0.0;0.4681939443030842;0.6500786097536593;0;2;0.0;0.40552743024678856;0.6306203681743718;50;19.3;residential;55.7;asphalt;61.8;0;91.4;no;94.3;no;97.1;no;99.4
D;6081742;86.85;0;6;0.0;0.10672846694253062;0.5403534639537443;0;1;0.0;0.018781789822718557;0.13575359009616222;0;0;0.0;0.0;0.0;0.0;2.0;2.0;1.9559795532266906;0.20518785611627854;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;30;5.9;residential;70.0;unknown;62.4;0;98.7;no;99.1;no;99.6;no;100.0
